Track URI,Track Name,Track Duration (ms),Artist Name,Artist Popularity,Artist Genres,Album Name,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PIrHcNo9aVhKrlk9hPOLG,Bose Aachhi (Bose Aachhi Eka),399961,Warfaze,36,"bangladeshi rock, south asian metal",Pathchala,26/4/12,39,0.431,0.88,7,-6.314,1,0.0507,0.000507,0.000613,0.333,0.518,136.924,4
spotify:track:3sJQGz6WX2YIBaHsH3bRMq,Shadow,224527,Chromatics,52,"alternative dance, art pop, dream pop, electronica, indietronica, modern dream pop, neo-synthpop",Shadow,19/5/17,54,0.591,0.539,11,-9.367,0,0.0266,0.012,0.588,0.29,0.551,106.605,4
spotify:track:1ujxjsoNvh4XgS2fUNwkZ2,Space Song,320466,Beach House,72,"art pop, baltimore indie, dream pop, dreamo, indie pop, indie rock, indietronica, modern dream pop, pov: indie",Depression Cherry,28/8/15,77,0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.144,0.625,147.073,4
spotify:track:2LKOHdMsL0K9KwcPRlJK2v,After Dark,259146,Mr.Kitty,68,weirdcore,Time,6/10/14,86,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4
spotify:track:5GbVzc6Ex5LYlLJqzRQhuy,Mystery of Love,248960,Sufjan Stevens,70,"art pop, baroque pop, chamber pop, indie pop, indie rock, singer-songwriter",Mystery of Love,1/12/17,74,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5
spotify:track:7F8RNvTQlvbeBLeenycvN6,Kun Faya Kun,470500,A.R. Rahman,80,filmi,Rockstar,1/10/11,70,0.362,0.378,1,-11.008,1,0.0329,0.679,0,0.091,0.575,87.549,4
spotify:track:5XW4BwCrfYpci5zMbJxs4N,Do Ya Wanna Taste It,176973,Wig Wam,45,glam rock,Non Stop Rock'n Roll,22/1/10,63,0.559,0.793,2,-3.536,0,0.028,0.0191,0,0.394,0.69,92.034,4
spotify:track:6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,334743,Pink Floyd,79,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",Wish You Were Here,12/9/75,79,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4
spotify:track:7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,243026,The Beatles,83,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",Let It Be (Remastered),8/5/70,80,0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",202266,The Rolling Stones,78,"album rock, british invasion, classic rock, rock",Aftermath,15/4/66,85,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:18VWSOioe5ys5LF7XxSlUx,Pyro,250533,Kings of Leon,74,"modern rock, rock",Come Around Sundown (Expanded Edition),15/10/10,59,0.365,0.606,1,-7.174,0,0.0415,0.00757,0.052,0.103,0.191,114.995,4
spotify:track:1bQ4zbP8Fo0qAePTSOfYji,Coming Back to Life,379241,Pink Floyd,79,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",The Division Bell,1994,61,0.287,0.499,0,-11.094,1,0.0437,0.464,0.000652,0.102,0.142,176.437,4
spotify:track:2DlHlPMa4M17kufBvI2lEN,Chop Suey!,210240,System Of A Down,79,"alternative metal, nu metal, rap metal, rock",Toxicity,4/9/01,87,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:612VcBshQcy4mpB2utGc3H,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",280000,Eric Clapton,71,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",Unplugged (Deluxe Edition),25/8/92,7,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,4
spotify:track:389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps - Remastered 2009,285000,The Beatles,83,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",The Beatles (Remastered),22/11/68,74,0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,4
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,208400,AC/DC,81,"australian rock, hard rock, rock",Highway to Hell,27/7/79,88,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
spotify:track:0gucTLf7trAf37Ua1uAyAu,Smells Like Teen Spirit - Remastered,300893,Nirvana,81,"grunge, permanent wave, rock",Nevermind (30th Anniversary Super Deluxe),24/9/91,59,0.489,0.918,1,-4.502,1,0.0554,3.53E-05,7.64E-05,0.0908,0.691,116.731,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,Faint,162600,Linkin Park,85,"alternative metal, nu metal, post-grunge, rap metal, rock",Meteora,24/3/03,82,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,4
spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,224493,Bon Jovi,77,"glam metal, rock",Crush,1/1/00,83,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,4
spotify:track:1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),137704,Lil Nas X,78,lgbtq+ hip hop,MONTERO,17/9/21,83,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,202546,Khalid,84,"pop, pop r&b",American Teen,27/4/17,83,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.948,4
spotify:track:3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,239000,ZAYN,75,"pop, uk pop",Icarus Falls,14/12/18,82,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32E-06,0.106,0.0951,180.042,4
spotify:track:0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),210960,Gym Class Heroes,68,"dance pop, pop rap",The Papercut Chronicles II,11/11/11,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),141805,The Kid LAROI,79,australian hip hop,F*CK LOVE 3: OVER YOU,23/7/21,35,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),227480,R. City,62,"reggae fusion, virgin islands reggae",What Dreams Are Made Of,9/10/15,82,0.509,0.671,1,-5.709,1,0.0678,0.304,0,0.0452,0.55,118.413,5
spotify:track:0tBbt8CrmxbjRP0pueQkyU,Wolves,197993,Selena Gomez,84,"pop, post-teen pop",Wolves,25/10/17,82,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,4
spotify:track:4DpNNXFMMxQEKl7r0ykkWA,Play Date,179867,Melanie Martinez,82,"alt z, electropop, pop",Cry Baby (Deluxe Edition),14/8/15,81,0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",Starboy,25/11/16,94,0.679,0.587,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.003,4
spotify:track:3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,284160,Michael Jackson,82,"r&b, soul","HIStory - PAST, PRESENT AND FUTURE - BOOK I",16/6/95,76,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,257265,OneRepublic,83,"piano rock, pop",Native,1/1/13,88,0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",After Hours,20/3/20,93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,Wake Me Up,247426,Avicii,81,"edm, pop, pop dance",TRUE,1/1/13,89,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,211666,Sia,83,"australian dance, australian pop, pop",This Is Acting,29/1/16,82,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4
spotify:track:0eu4C55hL6x29mmeAjytzC,Life Goes On,161803,Oliver Tree,75,alternative hip hop,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",28/5/21,78,0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,4
spotify:track:0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),245040,David Guetta,88,"big room, dance pop, edm, pop, pop dance",Nothing but the Beat 2.0,24/8/11,73,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
spotify:track:3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),220780,Kygo,79,"edm, pop, pop dance, tropical house",It Ain't Me (with Selena Gomez),16/2/17,80,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
spotify:track:6RUKPb4LETWmmr3iAEQktW,Something Just Like This,247160,The Chainsmokers,80,"electropop, pop",Memories...Do Not Open,7/4/17,88,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,4
spotify:track:7szuecWAPwGoV1e5vGu8tl,In Your Eyes,237520,The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",After Hours,20/3/20,81,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.10E-05,0.0736,0.717,100.021,4
spotify:track:5wJLi8d6bJjPsIBZkkU3fI,GhorGari,382066,HIGHWAY,36,bangladeshi indie,GhorGari,2/3/18,48,0.216,0.411,2,-10.736,1,0.043,0.117,0.00117,0.0628,0.0536,160.001,4
spotify:track:1vz2SrkLov7vyaZEtZBJLK,Na Pawar Golpo,301500,Encore,34,bangladeshi rock,Na Pawar Golpo,20/4/16,42,0.608,0.509,1,-6.442,0,0.0236,0.37,1.17E-05,0.136,0.157,100.022,4
spotify:track:4TLJKqLANHpyHXWAG1fZ4K,Amar Jaan,144586,Dameer,28,bangladeshi indie,For We Are Distant,26/2/21,37,0.399,0.634,4,-6.697,1,0.0494,0.421,5.37E-06,0.259,0.387,180.039,3
spotify:track:6qMij3wV7GhTOP3hHhZ0WX,Bedona,249746,Shunno,37,bangladeshi rock,Notun Srot,15/4/08,44,0.635,0.73,11,-5.982,1,0.0379,0.0441,5.48E-06,0.0653,0.816,119.921,4
spotify:track:62NkP9pkOw6y2B25pokMMQ,Ami Akash Pathabo,243691,AvoidRafa,35,bangladeshi rock,Bhaar,1/5/16,50,0.618,0.616,6,-9.26,1,0.037,0.286,2.77E-05,0.13,0.451,130.128,4
spotify:track:6vcvyBC1nWo8q2esjcHyEz,Joto Dure (Chup Chap Chari Dik),359132,Warfaze,36,"bangladeshi rock, south asian metal",Pathchala,26/4/12,32,0.364,0.726,7,-6.953,1,0.0347,0.00491,0.000697,0.319,0.346,134.945,4
spotify:track:38Ogl7K3v4sE71SFHjdTUO,Eka Beche Thakte Shekho Priyo,394000,Aseer Arman,20,bangladeshi indie,Kherokhata,1/7/20,38,0.338,0.224,3,-11.187,1,0.0334,0.878,0,0.11,0.386,72.522,4
spotify:track:64lsIF5pw0sJY0gV5kz0RN,Can I Call You Tonight?,278769,Dayglow,66,"austindie, indie rock, pov: indie",Fuzzybrain,14/11/19,10,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
spotify:track:2y7JqO7Jc7ErdOmxpvifRF,Crush,266666,Cigarettes After Sex,80,"ambient pop, dream pop, el paso indie, shoegaze",Crush,10/7/18,66,0.401,0.505,5,-8.574,1,0.0252,0.0869,0.779,0.11,0.287,97.796,4
spotify:track:3jxNbVmugKWFFc3YAVl0sD,Aabaad Barbaad,309103,Pritam,87,"desi pop, filmi, indian instrumental, modern bollywood",Ludo,13/11/20,71,0.626,0.522,7,-5.857,1,0.0317,0.686,0,0.41,0.628,118.001,4
spotify:track:64XYUIgyPK5KI1SWA63OGR,Tomar Jonno,275853,Arnob,43,classic bangla pop,Hok Kolorob,1/2/17,47,0.655,0.563,6,-5.647,0,0.0445,0.297,0.000415,0.105,0.619,82.056,4
spotify:track:5mfHlHt9lUDJzpquP0T4Dl,D r i v e F o r e v e r,545786,Nightshift TV,35,,D r i v e F o r e v e r,22/5/21,0,0.763,0.454,8,-11.402,1,0.0632,0.217,0.869,0.128,0.337,91.698,4
spotify:track:3d1ZZs7GvwSN43muHqgPh1,"The Ecstasy of Gold (From ""The Good, The Bad and the Ugly"") - Live",357960,Ennio Morricone,65,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack",The Morricone Duel: The Most Dangerous Concert Ever (Live),23/11/18,38,0.267,0.318,9,-13.839,0,0.0382,0.7,0.904,0.162,0.117,117.12,4
spotify:track:08P8lJZE9PvvTiUHlIRbiv,Ankahee,275454,Amitabh Bhattacharya,81,modern bollywood,Lootera,29/5/13,47,0.48,0.379,9,-10.934,1,0.0277,0.744,0.000125,0.079,0.303,94.891,4
spotify:track:1veNS1osFHTWf2G6q5AbuQ,Shikayatein,270169,Mohan Kannan,50,modern bollywood,Lootera,29/5/13,44,0.237,0.423,7,-8.874,1,0.0304,0.329,0.00022,0.148,0.154,78.05,4
spotify:track:1gEHNfJRSXpDVaEicwRRfe,Zinda,241962,Amit Trivedi,69,"desi pop, filmi, modern bollywood",Lootera,29/5/13,60,0.493,0.418,9,-9.693,1,0.0261,0.436,0.102,0.104,0.22,89.982,4
spotify:track:1qDrWA6lyx8cLECdZE7TV7,Somebody That I Used To Know,244884,Gotye,67,australian pop,Making Mirrors,1/1/11,82,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4
spotify:track:2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),334666,Red Hot Chili Peppers,82,"alternative rock, funk metal, funk rock, permanent wave, rock",Stadium Arcadium,9/5/06,82,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75E-05,0.119,0.599,104.655,4
spotify:track:1Bh0UzthW8pKEnYg7v40Oa,Heavenly,288595,Cigarettes After Sex,80,"ambient pop, dream pop, el paso indie, shoegaze",Cry,25/10/19,72,0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156,4
spotify:track:0H2iJVgorRR0ZFgRqGUjUM,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",289333,Pritam,87,"desi pop, filmi, indian instrumental, modern bollywood",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],26/10/16,75,0.476,0.788,9,-4.821,0,0.0446,0.237,2.49E-05,0.106,0.746,90.066,4
spotify:track:5nHwX7e5XHnie22nuTFgda,Dil Kyun Yeh Mera,333200,KK,76,"desi pop, filmi, modern bollywood",Kites,29/3/10,65,0.486,0.382,6,-6.183,1,0.0286,0.613,8.56E-05,0.149,0.164,125.918,3
spotify:track:4iFPsNzNV7V9KJgcOX7TEO,Tu Jaane Na,341933,Atif Aslam,76,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),6/11/09,71,0.702,0.86,7,-3.969,1,0.0345,0.361,1.33E-06,0.133,0.829,120.042,4
spotify:track:3u947zydbp5jVgVNlaRgv4,Tere Bin Nahi Laage (Male Version),222396,Uzair Jaswal,42,pakistani pop,Ek Paheli Leela,10/3/15,63,0.294,0.577,6,-5.952,1,0.0298,0.623,0,0.16,0.429,83.171,4
spotify:track:0dLbrlAVPPjpPqnYfmJsWk,Tera Hone Laga Hoon,299827,Atif Aslam,76,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),6/11/09,76,0.684,0.771,8,-5.353,1,0.0307,0.548,0,0.112,0.539,119.982,4
spotify:track:7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,321225,Pritam,87,"desi pop, filmi, indian instrumental, modern bollywood",Jab We Met,21/9/07,80,0.609,0.538,6,-7.842,1,0.0273,0.328,0,0.125,0.608,130.015,4
spotify:track:7uNnlVit5qDvfOje0pqICF,Tum Ho,316500,Mohit Chauhan,74,"filmi, modern bollywood",Rockstar,1/10/11,68,0.356,0.47,5,-8.929,1,0.0278,0.518,1.00E-05,0.0807,0.167,93.895,4
spotify:track:4AoQVhME8Ko6LNm4lV2wwQ,Hookah Bar,254351,Himesh Reshammiya,66,"desi pop, filmi, modern bollywood",Khiladi 786,30/10/12,72,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,4
spotify:track:72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",228855,Jasleen Royal,66,"desi pop, filmi, indian singer-songwriter, modern bollywood","Ranjha (From ""Shershaah"")",5/8/21,80,0.603,0.573,1,-5.843,1,0.0502,0.478,0,0.0971,0.236,82.941,4
spotify:track:4GXnjiHZm3YFFSbglMyY2p,Majhe Majhe Tabo Dekha Pai,364000,Arnob,43,classic bangla pop,Songs from World Tour '08,8/1/17,41,0.581,0.528,3,-8.808,1,0.0434,0.483,0,0.0867,0.546,139.932,3
spotify:track:1qTh7hzjd361hjuzeaMFWK,Hey Ya !,254989,Clinton Cerejo,59,"filmi, modern bollywood",Karthik Calling Karthik,18/1/10,62,0.799,0.588,7,-9.136,0,0.0302,0.184,2.68E-05,0.0788,0.789,115.087,4
spotify:track:1gwO79MdYdumgIjxq8eCxB,Bahara,325706,Vishal-Shekhar,76,"desi pop, filmi, modern bollywood",I Hate Luv Storys (Original Motion Picture Soundtrack),25/5/10,67,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98E-06,0.134,0.722,87.834,4
spotify:track:1lOe9qE0vR9zwWQAOk6CoO,Ransom,131240,Lil Tecca,76,"melodic rap, pluggnb, rap",We Love You Tecca,30/8/19,83,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
spotify:track:7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),181733,DaBaby,81,"hip hop, north carolina hip hop, rap, trap",BLAME IT ON BABY,17/4/20,81,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,4
spotify:track:0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),218146,Post Malone,88,"dfw rap, melodic rap, pop, rap",beerbongs & bentleys,27/4/18,87,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01E-05,0.131,0.129,159.801,4
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,240693,Coolio,69,"g funk, gangster rap, hip hop, west coast rap",Gangsta's Paradise,7/11/95,89,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4
spotify:track:4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,354320,Queen,84,"classic rock, glam rock, rock",A Night At The Opera (2011 Remaster),21/11/75,84,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,4
